DepthT,Temperature,H_q
0,25,20
99.00539208,101.4025634,20
199.006431,131.275086,20
299.0005437,161.9974581,20
379.5146092,182.9216261,20
438.0863494,196.1690972,300
506.4864228,203.4800888,300
589.5839755,207.4103831,300
692.2654689,208.3911386,300
792.5193155,207.2441534,300
873.1926845,208.6217823,300
980.7883445,206.634298,300
1041.86392,212.6611649,300
1102.904865,222.9372794,300
1107.694359,235.2663312,300
1136.867678,255.7001216,300
1168.496348,274.8622544,300
1212.339441,295.3147456,300
1295.340026,311.1429333,300
1383.313651,316.7791603,300
1488.405476,322.0122802,300
1595.935337,328.0983664,300
1698.596051,331.6286705,300
1793.921879,335.1496241,300
1879.474783,337.8082609,300
1996.822588,339.232642,300
