Thickness_cm,DepthScale,Diameter_m
0.0,   215.80,0.316000
0.4226,215.83,0.307548
0.6013,217.464,0.303974
0.7806,220.369,0.300388
0.8364,222.547,0.299272
0.9881,224.908,0.296238
0.9894,227.45,0.285185
1.1405,228.721,0.275322
1.4145,229.265,0.266913
1.6483,231.626,0.249528
1.787,235.439,0.226229
1.7887,238.888,0.207629
1.8992,240.886,0.194664
2.0772,241.249,0.189150
2.2558,242.52,0.178736
2.4068,243.609,0.169854
2.395,247.422,0.149564
2.4255,253.777,0.127490
2.401,259.587,0.127980
2.4466,268.847,0.127068
2.4912,275.928,0.126176
2.5214,281.738,0.125572
2.0862,287.185,0.134276
1.8265,287.729,0.139470
1.5392,287.911,0.145216
2.5245,287.911,0.125510
1.5004,292.45,0.145992
1.7092,299.713,0.141816
1.5055,302.799,0.145890
1.2603,305.16,0.150794
0.9744,308.246,0.156512
0.7023,311.333,0.161954
0.3611,313.149,0.168778
0.5665,313.512,0.164670
0.2823,320.048,0.170354
0.1628,327.492,0.172744
0.4921,329.126,0.166158
0.8222,332.576,0.159556
1.029,335.663,0.155420
1.2769,338.931,0.150462
1.1274,340.928,0.153452
1.4559,341.11,0.146882
0.7731,344.015,0.160538
0.5704,349.28,0.164592
0.0395,354.909,0.175210
0.1766,355.453,0.172468
0.4093,355.453,0.167814
