Temperature,DepthT
120.4846,21.33
123.3975,63.99
125.9811,106.65
128.3286,149.31
130.5077,191.97
132.5660,234.63
134.5382,277.29
136.4509,319.95
138.3250,362.61
140.1778,405.27
142.0246,447.93
143.8791,490.59
145.7540,533.25
147.6620,575.91
149.6161,618.57
151.6298,661.23
153.7181,703.89
155.8976,746.55
158.1879,789.21
160.6122,831.87
163.1996,874.53
165.9869,917.19
169.0240,959.85
172.3808,1002.51
176.1635,1045.17
180.5488,1087.83
185.8837,1130.49
193.1278,1173.15
198.0687,1215.81
198.1518,1258.47
198.2330,1301.13
198.3137,1343.79
198.3939,1386.45
198.4736,1429.11
198.5526,1471.77
198.6309,1514.43
198.7085,1557.09
198.7854,1599.75
198.8614,1642.41
198.9367,1685.07
199.0112,1727.73
199.0850,1770.39
199.1581,1813.05
199.2305,1855.71
199.3020,1898.37
199.3725,1941.03
199.4420,1983.69
199.5104,2026.35
199.5779,2069.01
199.6444,2111.67
