position_m,T_formation_C
2133.00,40.5556
2100.00,45.1268
2066.00,49.8366
2032.00,54.5463
1998.00,59.2561
1964.00,65.0368
1930.00,71.9404
1897.00,78.6409
1863.00,85.5444
1829.00,92.4479
1795.00,98.0082
1761.00,103.5360
1727.00,109.0638
1694.00,114.4290
1660.00,119.9741
1626.00,125.5390
1592.00,131.1040
1558.00,136.6689
1524.00,142.2339
1491.00,146.1001
1457.00,150.0539
1423.00,154.0076
1389.00,157.9613
1355.00,160.8600
1321.00,162.5704
1287.00,164.2808
1254.00,165.9408
1220.00,167.6512
1186.00,168.9696
1152.00,170.2710
1118.00,171.5724
1084.00,172.8737
1051.00,173.8988
1017.00,174.6672
983.00,175.4357
949.00,176.2041
915.00,176.9725
881.00,178.6919
848.00,179.0528
814.00,179.4246
780.00,179.7964
746.00,180.2355
712.00,180.7561
678.00,181.2766
644.00,181.7972
611.00,182.3024
577.00,182.8929
543.00,183.4879
509.00,184.0828
475.00,184.6777
441.00,185.2442
408.00,185.7615
374.00,186.2944
340.00,186.8274
306.00,187.3603
272.00,188.0868
238.00,188.8243
205.00,189.5400
171.00,190.2775
137.00,191.0149
103.00,191.7524
69.00,192.4898
35.00,193.2273
1.00,193.9647
