position_m,P_bar,T_C,rho_mix_kgm3,u_l_ms,u_v_ms,Q_total_kgs
21.3300,9.28822e+01,1.99644e+02,8.70839e+02,2.03826e-01,4.06626e-01,6.83968e+00
63.9900,8.92346e+01,1.99578e+02,8.70651e+02,4.07697e-01,8.13329e-01,1.36794e+01
106.6500,8.55892e+01,1.99510e+02,8.70464e+02,4.07785e-01,8.13481e-01,1.36794e+01
149.3100,8.19446e+01,1.99442e+02,8.70277e+02,4.07872e-01,8.13633e-01,1.36794e+01
191.9700,7.83008e+01,1.99372e+02,8.70092e+02,4.07959e-01,8.13786e-01,1.36794e+01
234.6300,7.46578e+01,1.99302e+02,8.69907e+02,4.08046e-01,8.13939e-01,1.36794e+01
277.2900,7.10155e+01,1.99230e+02,8.69723e+02,4.08133e-01,8.14091e-01,1.36794e+01
319.9500,6.73740e+01,1.99158e+02,8.69540e+02,4.08219e-01,8.14244e-01,1.36794e+01
362.6100,6.37332e+01,1.99085e+02,8.69357e+02,4.08305e-01,8.14398e-01,1.36794e+01
405.2700,6.00933e+01,1.99011e+02,8.69174e+02,4.08391e-01,8.14551e-01,1.36794e+01
447.9300,5.64540e+01,1.98937e+02,8.68993e+02,4.08476e-01,8.14704e-01,1.36794e+01
490.5900,5.28156e+01,1.98861e+02,8.68811e+02,4.08562e-01,8.14858e-01,1.36794e+01
533.2500,4.91779e+01,1.98785e+02,8.68631e+02,4.08647e-01,8.15012e-01,1.36794e+01
575.9100,4.55409e+01,1.98708e+02,8.68451e+02,4.08731e-01,8.15166e-01,1.36794e+01
618.5700,4.19047e+01,1.98631e+02,8.68271e+02,4.08816e-01,8.15320e-01,1.36794e+01
661.2300,3.82693e+01,1.98553e+02,8.68093e+02,4.08900e-01,8.15474e-01,1.36794e+01
703.8900,3.46346e+01,1.98474e+02,8.67914e+02,4.08985e-01,8.15629e-01,1.36794e+01
746.5500,3.10007e+01,1.98394e+02,8.67736e+02,4.09069e-01,8.15784e-01,1.36794e+01
789.2100,2.73674e+01,1.98314e+02,8.67558e+02,4.09152e-01,8.15938e-01,1.36794e+01
831.8700,2.37350e+01,1.98233e+02,8.67381e+02,4.09236e-01,8.16093e-01,1.36794e+01
874.5300,2.01033e+01,1.98152e+02,8.67204e+02,4.09320e-01,8.16249e-01,1.36794e+01
917.1900,1.64723e+01,1.98069e+02,8.67029e+02,4.09403e-01,8.16992e-01,1.36794e+01
959.8500,1.34340e+01,1.93128e+02,5.83969e+02,5.06484e-01,1.27324e+00,1.36794e+01
1002.5100,1.14572e+01,1.85884e+02,3.58878e+02,7.87768e-01,2.23249e+00,1.36794e+01
1045.1700,1.01535e+01,1.80549e+02,2.61092e+02,1.14926e+00,3.19976e+00,1.36794e+01
1087.8300,9.17189e+00,1.76163e+02,2.04093e+02,1.50702e+00,4.11707e+00,1.36794e+01
1130.4900,8.38676e+00,1.72381e+02,1.66266e+02,1.87475e+00,5.02423e+00,1.36794e+01
1173.1500,7.73543e+00,1.69024e+02,1.39184e+02,2.25786e+00,5.93569e+00,1.36794e+01
1215.8100,7.18132e+00,1.65987e+02,1.18793e+02,2.65960e+00,6.85915e+00,1.36794e+01
1258.4700,6.70094e+00,1.63200e+02,1.02873e+02,3.08248e+00,7.79971e+00,1.36794e+01
1301.1300,6.27824e+00,1.60612e+02,9.00957e+01,3.52878e+00,8.76143e+00,1.36794e+01
1343.7900,5.90170e+00,1.58188e+02,7.96139e+01,4.00083e+00,9.74805e+00,1.36794e+01
1386.4500,5.56274e+00,1.55898e+02,7.08620e+01,4.50109e+00,1.07632e+01,1.36794e+01
1429.1100,5.25479e+00,1.53718e+02,6.34457e+01,5.03223e+00,1.18106e+01,1.36794e+01
1471.7700,4.97266e+00,1.51630e+02,5.70784e+01,5.59746e+00,1.28945e+01,1.36794e+01
1514.4300,4.71222e+00,1.49616e+02,5.15487e+01,6.20068e+00,1.40201e+01,1.36794e+01
1557.0900,4.47006e+00,1.47662e+02,4.66984e+01,6.84645e+00,1.51933e+01,1.36794e+01
1599.7500,4.24335e+00,1.45754e+02,4.24038e+01,7.54037e+00,1.64212e+01,1.36794e+01
1642.4100,4.02966e+00,1.43879e+02,3.85673e+01,8.28948e+00,1.77125e+01,1.36794e+01
1685.0700,3.82691e+00,1.42025e+02,3.51116e+01,9.10261e+00,1.90782e+01,1.36794e+01
1727.7300,3.63323e+00,1.40178e+02,3.19739e+01,9.99095e+00,2.05318e+01,1.36794e+01
1770.3900,3.44694e+00,1.38325e+02,2.91025e+01,1.09689e+01,2.20906e+01,1.36794e+01
1813.0500,3.26644e+00,1.36451e+02,2.64546e+01,1.20551e+01,2.37766e+01,1.36794e+01
1855.7100,3.09018e+00,1.34538e+02,2.39944e+01,1.32745e+01,2.56185e+01,1.36794e+01
1898.3700,2.91656e+00,1.32566e+02,2.16908e+01,1.46605e+01,2.76546e+01,1.36794e+01
1941.0300,2.74388e+00,1.30508e+02,1.95182e+01,1.62589e+01,2.99382e+01,1.36794e+01
1983.6900,2.57021e+00,1.28329e+02,1.74588e+01,1.81309e+01,3.25454e+01,1.36794e+01
2026.3500,2.39322e+00,1.25981e+02,1.55132e+01,2.03489e+01,3.55906e+01,1.36794e+01
2069.0100,2.21001e+00,1.23398e+02,1.37325e+01,2.29490e+01,3.92510e+01,1.36794e+01
2111.6700,2.01733e+00,1.20485e+02,1.23147e+01,2.57046e+01,4.38121e+01,1.36794e+01
